,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
10,inf,inf,inf,inf,inf,inf,inf,26.34,inf,inf,inf,inf,24.92,22.72,24.64,inf,inf,inf,inf,inf,inf,inf,28.23,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.8,inf,inf,inf,inf,inf,inf,22.02,inf,inf,inf,inf,inf,inf,18.39,inf,inf,inf,inf,inf,25.77,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.92,26.1,inf,inf,inf,inf,29.73,25.67,inf,inf,inf,29.1,24.0,inf,inf,inf,inf,inf
11,inf,inf,inf,inf,inf,inf,inf,27.8,inf,inf,inf,inf,26.39,24.16,26.1,inf,inf,inf,inf,inf,inf,inf,29.69,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.25,inf,inf,inf,inf,inf,inf,23.48,inf,inf,inf,inf,inf,inf,19.86,inf,inf,inf,inf,inf,27.22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.38,24.86,inf,inf,inf,inf,inf,27.14,inf,inf,inf,inf,25.47,inf,inf,inf,inf,inf
12,inf,inf,inf,inf,inf,inf,inf,27.44,inf,inf,inf,inf,26.02,23.8,25.73,inf,inf,inf,inf,inf,inf,inf,29.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.89,inf,inf,inf,inf,inf,inf,23.11,inf,inf,inf,inf,inf,inf,19.5,inf,inf,inf,inf,inf,26.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.02,24.48,inf,inf,inf,inf,inf,26.78,inf,inf,inf,30.19,25.11,inf,inf,inf,inf,inf
13,inf,inf,inf,inf,inf,inf,inf,26.5,inf,inf,inf,inf,25.03,22.81,24.81,inf,inf,inf,inf,inf,inf,inf,28.34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.9,inf,inf,inf,inf,inf,inf,22.12,inf,inf,inf,inf,inf,inf,18.5,inf,inf,inf,inf,inf,25.92,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.1,25.44,inf,inf,inf,inf,29.84,24.06,inf,inf,inf,29.2,24.11,inf,inf,inf,inf,inf
14,inf,inf,inf,inf,inf,inf,inf,26.5,inf,inf,inf,inf,25.62,23.42,24.72,inf,inf,inf,inf,inf,inf,inf,28.94,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.5,inf,inf,inf,inf,inf,inf,22.72,inf,inf,inf,inf,inf,inf,19.11,inf,inf,inf,inf,inf,25.83,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.98,24.78,inf,inf,inf,inf,30.45,23.4,inf,inf,inf,29.8,24.72,inf,inf,inf,inf,inf
15,inf,inf,inf,inf,inf,inf,inf,27.88,inf,inf,inf,inf,25.64,23.42,25.61,inf,inf,26.92,inf,inf,inf,inf,28.95,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.5,inf,inf,inf,inf,inf,inf,17.45,inf,inf,inf,inf,inf,inf,19.11,inf,inf,inf,inf,inf,26.73,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.89,18.77,inf,inf,inf,inf,30.45,22.27,inf,inf,inf,24.53,19.45,inf,inf,inf,inf,inf
16,inf,inf,inf,inf,inf,inf,inf,27.33,inf,inf,inf,inf,25.11,22.88,25.25,inf,inf,26.39,inf,inf,inf,inf,28.42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.97,inf,inf,inf,inf,inf,inf,16.92,inf,inf,inf,inf,inf,inf,18.58,inf,inf,inf,inf,inf,26.39,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.58,18.23,inf,inf,inf,inf,29.9,21.72,inf,inf,inf,24.0,18.92,inf,inf,inf,inf,inf
17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.95,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.98,inf,inf,inf,inf,inf,inf,24.64,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.3,inf,inf,inf,inf,inf,27.8,inf,inf,inf,30.06,24.98,inf,inf,inf,inf,inf
18,inf,inf,29.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.88,28.88,24.11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.72,inf,inf,inf,inf,inf,inf,22.16,inf,inf,inf,inf,inf,25.22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.38,24.22,inf,inf,inf,inf,inf,18.53,inf,inf,inf,inf,25.72,inf,inf,inf,inf,inf
19,inf,inf,27.97,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.0,26.98,22.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21.81,inf,inf,inf,inf,inf,inf,20.27,inf,inf,inf,inf,inf,23.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.48,22.33,inf,inf,inf,inf,inf,19.56,inf,inf,inf,28.89,23.83,inf,inf,inf,inf,inf
