,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
12,inf,inf,inf,inf,inf,inf,inf,26.92,inf,inf,inf,inf,25.6,23.47,26.31,inf,inf,inf,inf,inf,inf,inf,28.94,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.22,inf,inf,inf,inf,inf,inf,22.62,inf,inf,inf,inf,inf,inf,18.88,inf,inf,inf,inf,inf,26.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.55,23.56,inf,inf,inf,inf,inf
13,inf,inf,inf,inf,inf,inf,inf,26.05,inf,inf,inf,inf,24.67,22.55,25.44,inf,inf,inf,inf,inf,inf,inf,28.02,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.3,inf,inf,inf,inf,inf,inf,21.7,inf,inf,inf,inf,inf,inf,17.94,inf,inf,inf,inf,inf,25.62,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.69,24.56,inf,inf,inf,inf,29.33
14,inf,inf,inf,inf,inf,inf,inf,26.05,inf,inf,inf,inf,25.27,23.14,25.34,inf,inf,inf,inf,inf,inf,inf,28.61,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.89,inf,inf,inf,inf,inf,inf,22.3,inf,inf,inf,inf,inf,inf,18.55,inf,inf,inf,inf,inf,25.53,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.58,23.9,inf,inf,inf,inf,29.94
15,inf,inf,inf,inf,inf,inf,inf,27.34,inf,inf,inf,inf,25.2,23.08,26.19,inf,inf,26.56,inf,inf,inf,inf,28.55,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.83,inf,inf,inf,inf,inf,inf,16.97,inf,inf,inf,inf,inf,inf,18.48,inf,inf,inf,inf,inf,26.38,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.42,17.83,inf,inf,inf,inf,29.88
16,inf,inf,inf,inf,inf,inf,inf,26.83,inf,inf,inf,inf,24.7,22.56,25.84,inf,inf,26.05,inf,inf,inf,inf,28.05,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.31,inf,inf,inf,inf,inf,inf,16.45,inf,inf,inf,inf,inf,inf,17.97,inf,inf,inf,inf,inf,26.05,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,29.12,17.31,inf,inf,inf,inf,29.36
17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.47,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.36,inf,inf,inf,inf,inf,inf,23.88,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.22,inf,inf,inf,inf,inf
18,inf,inf,29.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.48,28.56,24.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.27,inf,inf,inf,inf,inf,inf,21.56,inf,inf,inf,inf,inf,24.89,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.94,23.31,inf,inf,inf,inf,inf
19,inf,inf,27.77,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.58,26.66,22.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21.34,inf,inf,inf,inf,inf,inf,19.66,inf,inf,inf,inf,inf,22.98,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.03,21.4,inf,inf,inf,inf,inf
20,inf,inf,29.31,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.12,28.2,24.34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.9,inf,inf,inf,inf,inf,inf,21.2,inf,inf,inf,inf,inf,24.53,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.58,22.95,inf,inf,inf,inf,inf
21,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.38,29.44,25.58,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,24.14,inf,inf,inf,inf,inf,inf,22.44,inf,inf,inf,inf,inf,25.77,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.81,24.19,inf,inf,inf,inf,inf
